reserve_percent,primary,baseline,hbm_static_reserve_bytes_per_rank,hbm_kv_budget_bytes_per_rank,all_request_count,context_admissible_request_count,reuse_eligible_transition_count,decode_hbm_resume_count,cpu_resume_count,ssd_resume_count,recompute_count,cpu_resume_fraction_all_requests,ssd_resume_fraction_all_requests,cpu_or_ssd_resume_fraction_all_requests,recompute_fraction_all_requests,cpu_resume_fraction_context_admissible,ssd_resume_fraction_context_admissible,recompute_fraction_context_admissible,recompute_fraction_reuse_eligible,recompute_fraction_executed_prompt_compute,report_sha256
0,false,hbm_lru_recompute,0,62359265280,357161,189443,176383,96609,0,0,79774,0.0,0.0,0.0,0.22335585352264106,0.0,0.0,0.42109763886762774,0.45227714689057336,0.8759697195772569,18f11a41943fe8ceb1861838bd8544a3630ba576543c7528405f4487f278141a
0,false,hbm_ssd_direct,0,62359265280,357161,189443,176383,57306,0,119077,0,0.0,0.3333986633479019,0.3333986633479019,0.0,0.0,0.6285637368496064,0.0,0.0,0.0,6529c762c82b50bc747b876d29fdca37f6e0a0d14e4ad5fb364d1d5bd4bac00f
0,false,tiered,0,62359265280,357161,189443,176383,55451,1792,119140,0,0.005017345118867962,0.3335750543872371,0.3385923995061051,0.0,0.009459309660425564,0.6288962907048559,0.0,0.0,0.0,254078c3e2652571d625eb696465ac0e91afe632214635dbada31eea6b8dec84
10,true,hbm_lru_recompute,8000000000,54359265280,357161,189443,176383,69114,0,0,107269,0.0,0.0,0.0,0.3003379428325041,0.0,0.0,0.5662336428371595,0.6081595165066929,0.8967206630791316,7ef6d2cb6ffdf2ffa93fdaccfef3a20aa5367e61792dc09c391899d189584f89
10,true,hbm_ssd_direct,8000000000,54359265280,357161,189443,176383,56449,0,119934,0,0.0,0.3357981414544141,0.3357981414544141,0.0,0.0,0.6330875250075221,0.0,0.0,0.0,38118b0f9f7911c6fd61d08cc8382d2b2281df0054ce88a888f54609b6aa48fc
10,true,tiered,8000000000,54359265280,357161,189443,176383,53948,1750,120685,0,0.004899751092644494,0.3379008346376004,0.3428005857302449,0.0,0.00923760709025934,0.6370517781073991,0.0,0.0,0.0,6a7f3fa101be501f781d100b37bae113c131945661c65d8bbaa74b4a76ac6e93
20,false,hbm_lru_recompute,16000000000,46359265280,357161,189443,176383,63083,0,0,113300,0.0,0.0,0.0,0.3172238850266407,0.0,0.0,0.5980690761865046,0.6423521541191611,0.8960478252581682,eab45d894014b0e382e7c4c29b977ea34947a28fa74878dde99569c48bb0eea8
20,false,hbm_ssd_direct,16000000000,46359265280,357161,189443,176383,55082,0,121301,0,0.0,0.33962554702221126,0.33962554702221126,0.0,0.0,0.6403034158031703,0.0,0.0,0.0,fa496d32b8582378b0ccb0447a641b24861d0be186c47e3e51d02de7f7b9bf48
20,false,tiered,16000000000,46359265280,357161,189443,176383,53279,1712,121392,0,0.004793356497489927,0.3398803340790288,0.3446736905765187,0.0,0.009037019050585137,0.6407837713718638,0.0,0.0,0.0,8919b6f7a3bba4f89124438cc14dbf601be49f331b152099046d5fc475e02a21
30,false,hbm_lru_recompute,24000000000,38359265280,357161,189443,176383,53399,0,0,122984,0.0,0.0,0.0,0.34433770764445165,0.0,0.0,0.6491873545076883,0.6972554044324,0.9032104368085049,82ce92e875d20b951b2dcd9e96688de66acb9573907e18ebaeefeec302a0b7dd
30,false,hbm_ssd_direct,24000000000,38359265280,357161,189443,176383,53037,0,123346,0,0.0,0.3453512561561873,0.3453512561561873,0.0,0.0,0.6510982195172162,0.0,0.0,0.0,a4848133688e15df162bb2a136738c0e30ed49ec627d6fdec02b01e8bc66fe46
30,false,tiered,24000000000,38359265280,357161,189443,176383,51678,2132,122552,21,0.005969296759724606,0.3431281690890103,0.3490974658487349,5.879701311173393e-05,0.011254044752247378,0.64690698521455,0.00011085128508311206,0.0001190590929964906,0.001739579608464922,5e4bfa8ee781a32f70d479e81535c360da36858742f4166f2063bfab656ecc63
