baseline,return_gap_type,all_requests_in_class,reuse_eligible_in_class,source,count,fraction_of_all_requests_in_class,fraction_of_reuse_eligible_in_class
hbm_lru_recompute,human,31997,10388,decode_hbm,2496,0.07800731318561115,0.24027724297266076
hbm_lru_recompute,human,31997,10388,recompute,7892,0.24664812326155577,0.7597227570273393
hbm_lru_recompute,mixed,3097,1149,decode_hbm,347,0.11204391346464321,0.3020017406440383
hbm_lru_recompute,mixed,3097,1149,recompute,802,0.2589602841459477,0.6979982593559617
hbm_lru_recompute,tool,313179,164089,decode_hbm,66880,0.2135519942269437,0.40758368933932193
hbm_lru_recompute,tool,313179,164089,recompute,97209,0.31039437510177886,0.592416310660678
hbm_ssd_direct,human,31997,10388,decode_hbm,2021,0.06316217145357378,0.19455140546784752
hbm_ssd_direct,human,31997,10388,ssd,8367,0.26149326499359316,0.8054485945321525
hbm_ssd_direct,mixed,3097,1149,decode_hbm,266,0.08588957055214724,0.23150565709312446
hbm_ssd_direct,mixed,3097,1149,ssd,883,0.28511462705844365,0.7684943429068756
hbm_ssd_direct,tool,313179,164089,decode_hbm,50116,0.16002350093716372,0.30541961984045246
hbm_ssd_direct,tool,313179,164089,ssd,113973,0.3639228683915588,0.6945803801595476
tiered,human,31997,10388,decode_hbm,2300,0.0718817389130231,0.22140931844435888
tiered,human,31997,10388,cpu,1765,0.05516142138325468,0.16990758567577974
tiered,human,31997,10388,ssd,6323,0.19761227615088914,0.6086830958798614
tiered,mixed,3097,1149,decode_hbm,353,0.11398127219890217,0.3072236727589208
tiered,mixed,3097,1149,cpu,214,0.06909912818856959,0.18624891209747607
tiered,mixed,3097,1149,ssd,582,0.18792379722311914,0.5065274151436031
tiered,tool,313179,164089,decode_hbm,70707,0.2257718429396607,0.4309063983569892
tiered,tool,313179,164089,cpu,7673,0.024500365605612126,0.046761208856169516
tiered,tool,313179,164089,ssd,85709,0.2736741607834497,0.5223323927868413
