baseline,stage,jobs,bytes,queue_wait_seconds,service_seconds
hbm_lru_recompute,decode_hbm_to_prefill,71340,1889839604695040,240.932565133,4725.312442099
hbm_lru_recompute,prefill_to_decode,188641,2631647501025280,1310.996895323,6581.005242355
hbm_ssd_direct,cpu_stage_to_decode,126341,2870295380623360,0.0,7176.370212701
hbm_ssd_direct,decode_hbm_to_prefill,179521,4299401177989120,356.754319526,10750.298232021
hbm_ssd_direct,hbm_to_ssd_direct,128303,2918350785085440,1023946.717271093,86858.244249587
hbm_ssd_direct,prefill_to_decode,188641,222085927731200,465.771799895,557.101307658
hbm_ssd_direct,ssd_to_cpu_stage_for_decode,126341,2870295380623360,219447.852489979,52000.631604076
tiered,cpu_stage_to_decode,94695,2165389037404160,0.0,5413.946110577
tiered,cpu_to_decode,9721,225579069603840,6356.89167638,563.996283352
tiered,cpu_to_ssd,95453,2184237358776320,495618.35403423,65008.973355523
tiered,decode_hbm_to_prefill,179521,4299401177989120,1008.513127401,10750.298232021
tiered,hbm_to_cpu,106055,2432219008204800,308655.449053335,6081.077842617
tiered,prefill_to_decode,188641,222085927731200,1317.864076368,557.101307658
tiered,ssd_to_cpu_stage_for_decode,94695,2165389037404160,225489.328668362,39229.956218837
